ID,Total,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree
92824,1058,68,360,403,85,47,50,45,157,94,77,24,7,3,4,4,6,14,8,11,13,11,9,12,27,22,32,31,65,101,164,162
91120,7314,1076,1814,1694,706,602,695,727,756,583,378,204,120,91,71,66,70,82,110,113,146,183,205,199,193,250,277,299,439,599,866,1014
92716,3128,511,975,772,232,194,198,246,473,304,173,111,53,40,31,25,15,17,20,36,42,35,53,42,52,74,70,89,140,205,400,628
90228,6587,873,1847,1810,615,437,444,561,664,611,416,223,168,89,56,36,32,66,78,112,116,138,152,186,193,218,296,385,482,525,633,712
90924,8354,1256,2049,1963,852,701,718,815,909,685,452,311,227,150,66,66,69,110,131,169,213,240,228,271,296,258,325,354,457,593,838,936
91319,5109,753,1195,971,511,474,522,683,514,353,208,117,84,51,24,54,60,51,54,76,88,117,144,162,185,198,219,266,350,487,593,654
91618,10216,1505,2488,2317,811,832,1065,1198,1349,986,643,368,257,129,69,66,88,95,112,125,169,189,180,213,218,257,274,385,505,725,1241,1573
91627,6733,600,1906,2589,529,341,365,403,960,759,544,352,149,100,53,39,35,56,51,57,80,93,91,104,130,152,156,201,330,484,800,957
91525,2022,224,540,772,131,95,116,144,249,193,113,63,50,18,24,8,8,5,12,20,21,26,30,39,59,92,86,106,123,164,225,288
90329,2865,382,805,750,294,204,212,218,270,259,171,102,57,28,20,24,28,24,34,46,58,65,47,72,72,83,106,126,195,263,365,350
92712,3063,455,801,696,361,253,225,272,306,231,168,102,36,21,16,8,14,29,39,50,55,66,95,88,131,120,162,209,229,215,345,328
92023,16070,2131,4775,4663,1351,951,1054,1145,2227,1808,1100,616,361,188,113,106,99,102,102,156,185,191,245,258,298,320,472,707,909,1184,1930,2393
91329,593,53,164,223,56,20,37,40,99,71,39,44,14,13,6,5,3,1,1,2,2,0,3,5,5,6,14,12,27,45,70,106
91527,6795,627,1834,2690,549,353,362,380,866,815,535,290,200,120,64,37,33,61,40,70,80,104,110,101,125,163,174,263,333,460,753,998
91829,1560,226,389,378,138,129,138,162,197,138,81,37,20,17,9,10,14,13,9,22,26,23,19,30,32,35,66,59,102,125,245,231
91528,7526,562,2238,3329,515,301,267,314,930,841,604,335,188,101,57,26,28,41,57,66,97,102,129,160,158,220,243,358,428,585,812,960
90826,6711,887,1853,1840,635,466,472,558,557,490,336,210,141,70,38,51,46,76,73,127,121,194,208,212,248,316,312,424,537,555,648,721
91817,1641,286,392,343,140,143,149,188,163,142,77,40,27,23,17,8,19,25,32,26,27,22,23,30,32,40,50,78,122,184,216,218
90405,399,59,143,104,14,18,36,25,69,50,44,4,3,1,0,1,0,1,1,4,2,5,2,0,4,2,11,14,28,36,43,74
92815,650,110,163,164,60,48,45,60,97,51,40,25,9,5,6,10,1,2,4,6,8,5,12,6,11,12,20,23,26,55,103,113
92326,4212,405,1064,1303,526,313,292,309,462,395,270,181,108,62,33,24,36,38,50,42,50,60,59,84,86,78,147,189,245,378,550,585
91821,7752,1092,2251,2084,565,506,534,720,1088,766,523,284,177,77,63,31,40,33,52,59,80,92,110,149,149,188,252,305,427,615,996,1196
92217,1803,314,542,392,164,129,135,127,198,160,96,59,32,12,11,7,12,11,11,25,24,28,36,39,50,53,59,92,119,170,223,276
90927,1605,220,409,474,129,109,141,123,120,103,66,45,37,21,20,14,9,11,22,16,21,30,47,51,51,64,87,101,137,156,188,188
92124,11622,1323,3320,3527,1227,726,699,800,1477,1163,745,490,269,144,92,52,67,79,83,93,102,169,178,209,226,277,333,482,723,1009,1499,1661
91321,7686,1253,1990,1659,665,603,729,787,1036,693,372,187,106,56,36,42,33,67,81,98,94,125,146,207,212,216,198,229,373,621,1100,1358
90724,19943,2698,5120,5495,1877,1471,1475,1807,2034,1654,1131,672,460,336,214,130,127,130,172,194,268,330,345,440,533,619,771,1120,1393,1950,2379,2541
91728,2317,306,584,665,220,186,161,195,244,207,117,71,62,31,20,19,24,24,29,31,42,62,59,43,68,73,76,108,124,168,298,317
91624,5100,679,1283,1477,482,366,354,459,682,509,288,177,134,80,39,36,35,48,41,56,69,74,95,77,76,106,181,230,319,387,579,782
90426,15025,2042,3782,3969,1506,1149,1250,1327,1525,1266,858,623,427,289,158,111,124,120,147,183,227,295,300,332,385,490,624,777,1003,1260,1745,1756
91727,1335,128,383,502,102,68,58,94,221,146,79,60,26,20,11,9,5,11,11,9,3,15,18,19,20,24,25,48,67,96,198,194
92301,1989,212,566,783,167,80,79,102,252,184,124,64,38,18,15,8,6,12,16,19,14,30,39,40,63,64,68,96,138,169,232,280
91828,1032,125,273,279,98,85,80,92,92,94,68,33,28,19,16,6,13,10,18,23,18,22,22,27,19,28,40,43,59,71,142,121
93111,894,116,269,169,90,74,97,79,71,40,38,19,10,11,7,5,6,5,7,18,25,15,32,30,47,44,45,67,59,94,100,99
91719,16752,2667,4608,3504,1301,1399,1468,1805,2380,1614,869,431,281,179,66,46,56,106,147,168,223,269,347,383,412,492,561,560,845,1287,2164,2866
90921,16126,2220,4434,4237,1475,1172,1221,1367,1997,1467,972,560,326,188,117,63,78,108,138,181,201,254,264,336,371,476,606,807,1076,1423,1969,2148
92619,1577,207,339,397,212,121,152,149,221,159,78,64,22,9,19,16,16,25,27,23,26,24,22,26,29,32,53,63,86,97,179,261
90922,16573,2529,4329,3609,1484,1417,1539,1666,1842,1368,897,504,315,152,103,96,129,134,184,238,262,285,357,368,441,486,621,797,1083,1496,2146,2269
90825,8439,1182,2309,2259,760,566,635,728,941,766,557,385,227,153,79,62,53,64,77,90,108,125,152,186,206,225,298,381,537,676,1011,1080
90120,874,113,196,226,81,68,78,112,109,68,30,21,21,13,11,20,11,12,22,18,24,13,29,25,33,28,19,27,49,72,87,112
92118,1626,244,526,337,131,116,138,134,158,100,47,33,15,6,24,12,13,15,21,25,36,36,46,47,55,54,64,73,114,160,218,254
90928,3346,382,867,1050,312,235,256,244,388,326,189,115,66,28,28,11,21,26,26,32,54,62,57,66,74,100,125,158,235,303,420,436
90622,10763,1553,3080,2923,906,674,736,891,1175,986,594,397,294,149,54,55,55,86,93,122,163,165,177,230,220,318,389,524,690,952,1399,1476
92221,15730,1963,4504,4251,1369,1263,1120,1260,2127,1461,920,533,218,97,64,62,51,83,117,125,168,203,231,253,305,332,425,601,906,1420,2343,2685
91501,832,87,234,275,89,39,53,55,116,87,44,8,10,6,8,12,20,23,9,12,14,7,12,10,18,24,25,33,38,61,111,124
90325,7432,975,1999,2175,666,481,528,608,868,698,498,326,174,105,71,44,47,67,47,70,99,133,164,176,198,206,262,344,429,614,820,972
92320,2236,303,686,503,210,165,185,184,237,147,74,43,20,18,20,17,20,27,20,32,44,43,31,42,74,57,78,139,164,221,337,331
92219,6315,1035,2044,1492,446,349,419,530,750,416,246,142,64,38,36,35,41,56,48,56,90,85,130,124,119,168,179,288,392,559,1012,1241
